track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,shazam_counts,explicit_track
Watching Yourself Being Born,Neuroscape,Blush Response,2023-04-04,QZFZ72309552,335,84,239850720,13,191,67,918283411,1480549,182200,26534406,265917250,98142716,28,3,86,15,237120,17,12735768,7832,854584,0
Los del Espacio,Los del Espacio - Single,LIT killah,2023-06-01,USWL12300725,336,83,373898429,53671,24287193,72,314467618,1775081,782114,148537760,1715842070,670200525,42,29417,3,27,645947,28,79804,197,776352,0
MAMIII,MAMIII,Becky G,2022-02-10,USRC12200425,337,83,911797058,80109,53928265,74,628307968,4924401,1741513,267846050,3410691967,36403252,125,165243,430,59,3772475,83,112920660,34289,3561445,1
Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,USUG12103651,339,83,1020452066,169696,52678003,73,385820349,4710732,796783,391999548,3320885451,3540186470,75,269792,1886,30,897931,42,38544039,26435,11693340,0
exes,exes,Tate McRae,2023-11-17,USRC12302756,340,83,323100055,27272,33467589,67,33501338,405965,319600,56188128,730969180,1646779233,67,131125,811,56,1010439,57,24536746,8494,697530,1
Stick Season,Stick Season,Noah Kahan,2022-07-08,USUM72212470,342,83,965865213,113676,169323128,86,89431811,659870,82855,29406696,275016537,315685769,148,319240,577,85,16767304,103,18405146,38276,3365903,0
Need To Know,Need To Know,Doja Cat,2021-06-11,USRC12101120,344,82,1178076856,164743,42269625,71,507790705,6169368,734932,365523934,2422643413,2099921417,195,439065,1451,38,870717,28,90615307,51300,5746726,1
kompa pasiï¿½,kompa pasiï¿½,ýýýýýýýýýý,2024-04-12,USUS12400227,345,82,29458027,2602,6588032,78,8529869,225779,439200,8820761,87680200,154517,9,132,86,6,73462,17,12735768,7832,2085595,0
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,2022-10-20,MXF012200200,343,82,394381902,22919,12262540,73,805683907,2076505,998663,48461089,847830213,14566260,24,25712,1169,18,2340656,15,14271775,11420,1353588,0
Last Last,Last Last,Burna Boy,2022-05-12,USAT22204901,346,82,410722289,130203,16877163,68,332556651,1906835,260214,93902403,1049244970,306416991,203,214958,2031,30,258278,94,15787293,18736,4840000,0
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,2023-01-29,SGB502314277,347,82,8034198,756,174523,67,32806412,130043,6698664,76927003,1953589891,98142716,28,27,86,15,237120,17,12735768,7832,854584,0
500lbs,500lbs,Lil Tecca,2023-07-21,USUM72309854,349,82,350584176,79228,26972646,68,32342535,452857,638,1056379,11627298,277256864,19,1239,1452,5,31145,19,2538334,6256,776386,1
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,USUG12104409,348,82,732652170,217189,35225322,72,247680355,2184804,264300,95344150,711702658,379789269,67,3965,443,10,74228,26,96181566,75646,2095961,1
BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,SGB502248062,350,82,359416593,91114,29730236,64,116400996,2127918,4530098,885538360,10488403602,74794888,40,169548,7064,18,137293,52,29260633,18576,3310069,1
ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,2023-04-12,JPP302300157,351,82,356559943,47785,12078942,69,490408465,4295510,504800,162429655,1871819472,1227624888,59,1883,86,7,44834,12,540614,419,804248,0
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401990,352,82,84575291,5186,51449432,85,11080040,346121,137,26534406,265917250,3541236,95,271,1,19,2682503,18,183562,231,214747,0
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,2023-03-03,USUG12300821,353,82,406319778,42283,16439412,80,84066193,368256,117408,7626726,99492470,606650627,50,262596,145,2,2456,19,181953005,27501,1185776,0
Madonna,Madonna - Single,Natanael Cano,2024-03-08,QZ9QQ2400185,354,81,272838329,7265,54631978,85,105675950,806116,182200,150848,2099500,126527485,23,572,86,10,2210844,8,1544866,966,572478,1
deja vu,deja vu,Olivia Rodrigo,2021-04-01,USUG12101240,355,81,1606975517,172376,64346126,80,638102695,7847239,1210842,534102475,3758269019,2265662637,206,279408,332,27,76887,49,62922329,74501,3545397,1
6. A.M.,Motion is Emotion,Azul,2022-10-07,ES40B2200055,356,81,1186,5,30,67,1231300374,3158558,182200,26534406,265917250,248653921,28,1,86,15,237120,17,12735768,7832,854584,0
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2024-02-15,USUG12400966,357,81,162165853,10306,87901542,85,93106341,1394962,182200,26534406,265917250,1916097608,66,46348,53,45,4652694,69,11091776,1611,775583,0
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,2023-05-08,SGB502370315,358,81,148630357,22962,19586200,33,61652249,723007,3757654,145382546,2299851479,1136738,3,1,86,15,237120,5,42656,7832,423570,1
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401993,359,81,100838516,5188,50795354,87,6390843,134606,253,26534406,265917250,934654,76,181,5,16,4083154,39,294656,163,124583,0
Doja,Doja,Central Cee,2022-07-21,ZZOPM2237319,360,80,676519766,192241,57503569,74,201326163,3061387,492679,411670410,3919404141,279634941,66,58802,2699,31,877441,42,1285099,3136,2415167,1
Lan,Lan - Single,Zeynep Bastï¿½,2024-03-08,TRAUR2400004,362,80,81246715,4073,6852706,72,146249969,590112,182200,26534406,265917250,88179577,11,5899,86,5,1585206,17,12735768,7832,444123,0
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,USUG12401967,363,80,176290078,13470,157502211,87,6018651,140562,61889,45660069,263955300,17447092,99,16680,86,65,10743893,122,572090,1327,485935,0
Hey Mor,Hey Mor,Ozuna,2022-10-06,QMDA62203322,364,80,986132265,97956,68983561,76,383748675,1303919,793798,154969251,2145975300,45000407,79,65798,79,41,3780470,78,27759302,3605,1428200,0
Ferrari,Ferrari,James Hype,2022-03-15,GB3CE2200004,366,80,626010147,185422,78359363,74,202193289,1277287,88909,20233025,368044894,877635000,132,253244,332,76,1468578,44,2598595,2953,6257313,0
positions,positions,Ariana Grande,2020-10-23,USUM72019412,368,80,1432830108,139215,53934095,74,778340255,10401273,1268910,254276140,1984520688,1958337600,283,599336,639,43,242610,50,90015866,39920,3299253,1
Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,BEHP42100067,370,80,1223329465,211823,114773091,74,214359669,1467163,308286,25459624,413908070,1857452555,256,391895,308,158,4728637,51,80579628,6731,8462590,0
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402905,369,80,302177116,34,224573,67,148269610,1257935,182200,26534406,265917250,98142716,6,5954,86,1,239,15,92486209,42531,854584,0
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,USUM72105936,372,80,1321878145,189487,51228803,78,530778926,8470860,570442,358879639,2295813182,1152917073,199,82181,275,51,547449,50,9900535,29358,4647622,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404993,377,79,250080413,2711,4839848,67,148269610,1257935,182200,26534406,265917250,98142716,137,19724,86,6,44739,19,12735768,7832,854584,0
Smart,EASY,LE SSERAFIM,2024-02-19,USA2P2402103,379,79,159256689,6829,20291074,74,130698280,1872592,170200,234770546,2059824051,495137217,13,915,16,3,20293,17,264369,676,234077,0
Commando,Commando - Single,Mavokali,2022-09-28,QZTVM2210964,380,79,21667023,9105,1266295,67,48246851,435329,7444200,251304348,5361829317,98142716,2,1544,86,2,33249,17,5089,7832,1561153,0
The Business,The Business,Tiï¿½ï¿,2020-09-16,CYA112000624,381,78,1191635193,255697,78272032,70,539885283,4027102,777092,73955191,1435552956,462516169,362,277419,484,216,3941324,41,108360279,53852,9642311,0
Mwaki,SURRENDER,Zerb,2023-09-27,NLRD52339318,383,78,121234000,36468,76765385,42,78160610,806269,118600,20204903,395342206,303381336,48,90542,163,51,19833933,34,1553861,760,4890793,0
BICHOTA,BICHOTA,KAROL G,2020-10-23,USUM72019324,385,78,868091483,86379,31261057,64,1591945481,7916193,1586770,101362709,1153849236,172943996,133,36028,239,38,1594172,33,70065986,48232,1740278,1
Renklensin,Renklensin - Single,Reynmen,2024-04-19,FRX282477628,384,78,54940563,2630,6589111,75,77507185,547375,182200,26534406,265917250,11444478,9,3016,86,5,1585603,17,12735768,7832,197952,0
Bad idea,Missing,Kurochuu,2024-06-09,CA5KR2466578,387,78,86203995,2,2190,1,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,854584,0
writhe,writhe,daine,2023-02-21,AUWA02201495,386,78,239850720,163,6893,15,915870602,2980959,12,8960,91112,26629501,1,20,86,1,14566,17,81,7832,854584,0
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,USA2P2330092,389,77,1673557134,15863,14237841,72,148269610,1257935,1500000,104700560,1092175292,98142716,57,112184,86,5,2931,20,12735768,7832,854584,0
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401995,390,77,77212437,4083,13850203,84,7658766,246884,472,301528,1423956,934654,52,238,2,12,1198375,32,226853,318,39163,0
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,2024-06-06,QZQAY2414774,391,77,239850720,32312,13259481,67,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,1772770,0
Te Felicito,Te Felicito,Shakira,2022-04-21,USQX92201764,392,77,719593291,74269,37254627,67,719244041,4424400,826261,159735614,2594106000,455293047,98,124848,455,53,3243848,69,25538867,8165,2583205,0
Que Onda,Que Onda - Single,Calle 24,2023-08-30,USDXS2303230,393,77,642548537,36781,21579429,81,227994801,335112,205583,41258724,499670882,92125885,34,1124,45,23,8060357,34,20174633,7393,854584,1
Stumblin' In,Stumblin' In,CYRIL,2023-11-10,NLZ542301810,394,77,180784576,22208,150873146,83,29260192,247757,91700,2012224,61731912,320584411,91,111796,86,117,31191745,55,241739,270,4657449,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1543926,395,77,311928522,1668,4447700,23,148269610,1257935,182200,26534406,265917250,98142716,118,60470,86,15,237120,6,12735768,7832,854584,0
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,2022-09-22,USSM12208809,396,77,428164381,80340,18339674,68,138760138,1465825,61144,40889470,419346148,99649191,69,469798,534,41,1075897,42,35931504,11075,5323336,1
Desesperados,VICE VERSA,Rauw Alejandro,2021-12-10,USSD12100779,397,77,1021480638,119558,50631491,78,722946861,3591807,793105,186008455,2153526389,815766418,75,55181,92,42,3476743,53,61269232,6584,2591948,1
"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,2024-01-10,UYB282401001,398,77,224033701,20266,25455662,67,138348246,2036793,182200,1407028,22394778,1429170590,23,18177,104,25,12600216,39,1216700,340,432783,0
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,2024-03-18,QZLL92480334,454,76,564444844,5,20,67,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,854584,1
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,2024-01-12,USUM72315072,400,76,263568994,17285,38697311,67,113081188,1249785,182200,1411800,11612300,1344542728,46,22110,6,58,16438835,57,2451926,3216,1017370,0
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]","Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,2023-01-14,INY092300003,402,76,1993244,245,79264,28,944088313,6351302,182200,26534406,265917250,1464736,28,368,86,15,237120,17,12735768,7832,28908,0
Envolver,Envolver - Single,Anitta,2021-11-11,USWL12100576,401,76,635241142,77669,44546385,65,836072339,4909216,2101465,699278513,9427647770,1434107266,102,86127,402,72,1135788,86,19183846,6406,2534489,0
Oublie-moi,Oublie-moi,Emkal,2022-09-16,FRDDV2200780,405,76,17992999,11288,327900,42,58383075,502081,7146060,118925740,2858109417,34801360,1,1309,86,1,8606,1,12735768,7832,1860955,1
Malohat,Malohat,Xamdam Sobirov,2024-04-20,RUA1D2459522,406,76,75486,13,3242,67,95889492,442331,182200,26534406,265917250,98142716,1,5954,86,15,237120,17,12735768,7832,129586,0
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,USA2P2415975,407,76,35244286,1629,14912783,75,70452629,1873655,182200,18636812,90497430,5822984,15,632,86,5,176790,40,93561,118,85957,0
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,2023-06-22,QM7282306253,408,76,253464894,22779,10733622,76,191499043,634671,1755500,61572969,708437568,534279807,6,115,86,4,1599559,10,22214240,5494,781164,1
you broke me first,you broke me first,Tate McRae,2020-04-17,USRC12000832,409,76,1439465700,169076,47204234,77,706284693,7820244,880567,188771287,1383885042,947613259,238,395572,776,65,1097172,38,175068272,92428,5808069,1
Faint,Papercuts,Linkin Park,2024-04-12,USWB12401896,412,75,670009914,3,81,67,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,1847397,0
Pretty - Sped Up,Pretty,MEYY,2023-06-07,FRD9M2300690,411,75,1867282,498,521031,40,485422,12137,4300000,99212673,1267424672,98142716,28,1,86,15,237120,1,3897,21,15462,0
Hawï¿½,Hawï¿½,Maluma,2020-07-29,USSD12000190,415,75,1289186767,123303,48973048,73,1464055196,7754280,729784,9309533,131926571,371508169,201,80055,98,86,5370315,99,105490212,45106,2387272,0
LA FALDA,LA FALDA - Single,Myke Towers,2023-11-22,USWL12302952,416,75,367399860,29235,106808249,82,104584293,726526,182200,1146,14800,1109634551,57,42471,593,54,6789731,30,2176876,1851,1040348,1
act ii: date @ 8,act ii: date @ 8,4batz,2023-12-07,QZS7J2359132,414,75,153364964,29300,15208678,67,32239845,576013,534000,88331091,749015170,34306328,33,48625,994,7,935612,1,884939,1670,1458037,1
Angel Numbers / Ten Toes,11:11,Chris Brown,2023-11-10,USRC12302900,419,75,179565178,40225,15526253,75,41976731,479163,273400,36593416,451763725,514925755,54,5615,86,25,454601,9,3470078,3794,2788317,1
Never Lose Me,Never Lose Me - Single,Flo Milli,2023-11-30,USRC12303379,420,75,278132516,23580,70573006,67,11587186,210504,1200000,201891712,1434396157,381728,39,59,1491,46,1639978,12,3317074,2619,1075138,1
Reggaeton Champagne,Kittyponeo,Bellakath,2023-10-05,BK4DA2319233,421,75,224429894,17159,11316048,67,250897173,2121068,545900,64561650,456323777,911150246,8,1966,499,13,597691,28,708120,3499,921762,1
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,2024-03-08,QZES82406061,422,75,32435333,2141,18509359,76,57665106,1285063,550000,83742600,1059880600,5353152,1,5954,86,15,237120,8,28942,53,264296,0
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2020-07-17,USAT22007153,424,75,568230113,142225,16247309,68,531872316,9887683,8041280,1122403923,11938256726,2159219012,46,48336,774,19,356456,16,13530275,21169,4910428,0
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402913,425,75,212272036,13,76963,67,148269610,1257935,182200,26534406,265917250,98142716,1,5954,86,1,19628,3,110583041,29082,854584,0
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,2023-11-27,KRA402300048,426,74,121497542,6748,14377499,80,307571207,3994160,182200,16093695,136260517,2556572213,12,1559,8,3,212538,17,172783,439,252875,0
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,2024-05-23,QM6N22466972,427,74,45287928,2099,98932469,81,17850177,358428,182200,26534406,265917250,145759995,21,5,86,9,2032136,9,181048,89,268642,1
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,2022-12-02,USUG12208787,429,74,637325281,142076,31958929,79,25776208,246133,12122,7811781,58477615,145379,35,2,86,9,948806,10,2184964,4214,3359877,1
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,USWB12201797,430,74,412845771,59749,11166198,73,215094924,1522549,203904,80427947,777869891,506206031,37,325922,84,4,2647,16,260646662,39816,1315179,0
obsessed,GUTS (spilled),Olivia Rodrigo,2024-03-22,USUG12305564,428,74,129968407,6621,69045774,67,16165402,604952,182200,26534406,265917250,156978440,48,75882,164,35,10634673,70,1952449,3850,854584,1
Eyes Closed,Eyes Closed,Imagine Dragons,2024-04-03,USUM72402448,431,74,51224852,5159,33795310,67,30060301,670497,182200,26534406,265917250,209984783,43,47932,23,41,18000216,82,8536936,1263,576192,0
Wanna Be,Wanna Be (Alternate Versions),GloRilla,2024-04-03,USUM72403374,433,74,66836198,4228,57383746,77,43174948,552134,182200,26534406,265917250,130569102,37,6174,249,5,1421437,22,16660021,5363,269767,1
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,2020-11-18,GBUM72005748,435,74,1151629030,201783,55679157,77,456651608,6111089,1448920,467181048,3401301248,244384379,164,173512,1303,63,488896,60,53202036,41954,6239619,0
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,2023-10-06,FR9W12347222,437,74,232417498,20983,96389865,80,59799293,367721,38115,1152032,61820477,1975097262,60,191891,77,83,27260772,40,3871,26,3273690,0
Chulo pt.2,Chulopt2,Bad Gyal,2023-06-22,USUM72305143,438,74,318567928,42351,29908589,69,313180496,1792729,263600,102425830,797526303,511333068,43,16430,17,28,608263,45,2065718,1938,857885,1
Push Up - Main Edit,Push Up - Single,Creeds,2023-03-31,DEE862300564,441,73,274229438,81319,88956153,77,22545691,353908,2001804,84624881,1182280724,98142716,31,7748,33,66,1432651,26,471372,925,986887,0
UNAVAILABLE (feat. Musa Keys),Timeless,Davido,2023-03-30,GBARL2300322,444,73,155390490,51032,16505336,68,135400007,1021624,1871311,80258156,1043240094,42080992,99,40272,339,33,903393,60,4099754,1865,2290047,1
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402634,445,73,48720820,5049,856394,2,148269610,1257935,182200,26534406,265917250,98142716,62,10894,86,15,237120,17,12735768,7832,854584,0
"Chaleya (From ""Jawan"")","Chaleya (From ""Jawan"")",Anirudh Ravichander,2023-08-14,INS182302348,447,73,334578317,18958,16311735,70,396928355,3264045,182200,26534406,265917250,936001433,29,1613,86,15,237120,24,12735768,7832,411911,0
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,QZNMY2232113,448,73,419016792,24878,16888060,42,299024405,6706233,3400000,417635777,5766443841,130833442,13,15581,42,5,48194,16,1971463,929,1878044,0
ADIVINO,ADIVINO - Single,Myke Towers,2024-04-25,USWL12401327,449,73,118631919,11425,115304111,84,6595595,105964,182200,26534406,265917250,5565254,75,3903,11,39,3931309,37,1787057,310,407768,1
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX,2024-04-18,BKF5C2400003,450,73,51390127,3010,33303786,78,72074397,726118,182200,26534406,265917250,98142716,18,5954,86,31,9657358,22,12735768,7832,174720,0
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,2024-03-22,USUM72402906,452,73,171242868,15,78253,67,148269610,1257935,182200,26534406,265917250,98142716,2,4,86,1,19628,3,109170088,29055,854584,0
Breathe,2093,Yeat,2024-02-16,USUM72401623,453,73,131100973,16735,42444393,67,4756180,146148,182200,26534406,265917250,1563442,10,1403,107,14,903632,22,359758,1958,307226,1
EASY,EASY,LE SSERAFIM,2024-02-19,USA2P2402101,455,72,141803939,7192,20908017,78,139498636,1771124,182200,12990521,80625682,1978716840,20,2733,46,4,169894,18,306385,286,190784,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,2023-05-31,UYB282301034,456,72,434019386,47202,14298402,70,350630590,4153653,182200,26534406,265917250,1145717172,48,7265,122,7,79313,33,19034872,5506,647350,1
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,2024-05-10,US5TA2400074,457,72,29994527,1665,25533535,57,39678645,1520092,38704,1533045,5347400,35590514,12,1664,12,7,477416,45,277540,314,69265,0
Move,Move - Single,Adam Port,2024-06-07,DEEC33501508,459,72,5917083,1348,19711644,67,1541922,39879,21800,4700915,53279473,98142716,45,12,3,14,669637,22,28895,16,196937,0
Forget Me,Forget Me,Lewis Capaldi,2022-09-09,DEUM72204717,465,71,343556188,53783,14916823,69,78559130,611379,30806,18533179,268283723,350881548,76,641638,220,25,1291476,39,36438448,3704,3723951,0
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,2022-08-12,FR9W12228852,467,71,2754,22,441,67,1197426502,1257935,182200,26534406,265917250,98142716,28,50,86,15,237120,17,12735768,7832,854584,0
Scared To Start,Scared To Start,Michael Marcagi,2024-01-12,USWB12400001,469,71,284119669,23417,101687677,84,14777855,145459,182200,509611,18832300,290887958,71,33810,327,59,8912821,67,25145649,3122,857426,0
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,2022-08-12,USUM72215262,468,71,549382975,88241,44497733,64,128432797,2507944,777200,583041946,5107877505,1132042114,93,331869,3028,32,1112754,82,47944657,27729,2630957,1
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,2023-03-10,GBARL2300300,470,71,425999315,91229,100955340,74,81238584,760116,144223,20190291,342295893,741916635,183,21709,40,132,4296671,79,12735768,7832,4349283,0
Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,USWB12201213,478,70,891578597,134151,56220971,82,121756122,612540,428919,61522352,536850823,545454569,78,8,86,37,4894376,69,94783587,127557,1548284,0
AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2023-02-24,USUM72222552,477,70,629102459,31206,51913972,81,317295184,924600,969500,28700787,404330162,814335857,45,46179,387,30,3549738,23,38480759,8821,1252595,1
I Wanna Party,I Wanna Party - Single,Unknown,2024-05-31,QZYFZ2445017,482,70,239850720,32312,13259481,67,148269610,1257935,182200,26534406,265917250,98142716,28,5954,86,15,237120,17,12735768,7832,854584,0
Bailando Bachata,Bailando Bachata - Single,Chayanne,2023-05-25,USSD12201328,479,70,136724343,15391,18104979,72,252644706,1115099,1500000,24961548,525208493,1343661668,18,39119,4,25,1739239,25,15483578,5649,1152569,0
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,2023-12-06,QMFMF2394976,480,70,239850720,32312,13259481,67,148269610,1257935,2303000,191592684,2172310968,98142716,28,5954,33,15,237120,17,12735768,7832,3940,0
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,2022-08-19,USUM72215366,483,70,944833760,84300,40737356,78,442672273,1382190,712759,110146879,1137735925,656176233,58,35382,847,29,4232864,38,5607959,2694,1105660,0
Fall Back,Fall Back / Selfish Game - Single,Lithe,2024-03-21,AUMEV2435468,485,70,78227549,10811,34967691,81,18048583,346316,1827,366700,5400000,10740206,59,604,86,7,10139201,36,350778,1442,1712744,0
2055,2055,Sleepy Hallow,2021-04-14,USRC12100442,488,70,811700245,195603,31185690,77,168936854,1450642,321061,90460360,752325431,214637799,39,5018,232,18,217873,8,7644784,21061,925014,1
Bandit,Bandit - Single,Don Toliver,2024-02-01,USAT22400561,490,70,152597421,19834,64067368,12,6556571,181948,182200,5037290,98100600,578162886,27,40104,1312,17,1282315,37,2807438,1824,397211,1
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,2024-03-08,USA2P2410436,491,70,28543791,1305,5420569,74,148165738,1392549,182200,2333587,37252006,44349246,6,5954,86,3,452659,10,4285,8,291383,0
"This Is The Thanks I Get?! - From ""Wish""","This Is The Thanks I Get?! (From ""Wish"")",Chris Pine,2023-10-25,USWD12328244,492,69,15090071,1405,7665573,67,6176518,49281,2600000,15257747,182005109,297428,16,11,86,1,18,7,572150,1913,25335,0
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitï¿½ï¿½n - La G,2021-11-19,USWD12112915,493,69,502781351,57858,20151204,68,749366767,5566798,601478,415546697,3341780836,65811641,88,22082,86,8,183506,34,66651535,277556,828770,0
You Proof,You Proof,Morgan Wallen,2022-05-13,USUG12203266,494,69,644437397,64367,18795673,79,141964689,814824,128357,28267176,327463451,437506457,49,340292,301,7,100845,29,272571584,45356,899954,0
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,2021-09-03,USUM72119916,495,69,1502382072,240419,57503380,75,148269610,1257935,913200,449105708,4053240923,98142716,118,137391,86,55,2576050,65,36985295,73848,854584,0
Shut Down,BORN PINK,BLACKPINK,2022-09-16,KRA402200020,497,69,654818451,39852,17682503,67,633781726,11421404,844032,374048198,3365539262,383386318,34,18744,201,15,202016,29,2834793,6453,909449,0
Regalo De Dios,PRESENTE,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,2023-11-17,QZ7HP2300092,498,69,205050873,6236,32107085,81,242715015,1024215,182200,1660,20904,1291400606,7,2838,86,8,2174143,8,7709559,5232,750457,0
Never Let Go,Never Let Go - Single,Jung Kook,2024-06-07,USA2P2431076,499,69,26891849,722,63940453,81,5611228,686901,182200,26534406,265917250,98142716,57,279,86,25,2485160,49,483333,20,32683,0
Toyour ï¿½ï¿½ï¿,Amrat ï¿½ï¿½ï¿½ï,Rasha Nahas,2023-01-20,QMEU32211578,500,69,11360,26,3294,6,854850866,6612,182200,26534406,265917250,98142716,28,16,86,15,237120,17,12735768,7832,264,0
Chill Vibes,Chill Vibes,Tollan Kim,2022-03-31,SGB502214297,501,69,1212312,560,367540,32,668067,10341,9268296,888782233,14162352713,98142716,28,1,86,1,6,17,29241,1149,46761,0
MIENTRAS ME CURO DEL CORA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2023-02-24,USUM72300862,506,69,426341106,29511,24418991,76,304538874,2238586,1577292,68382766,871654140,172894442,22,31573,131,18,2850884,57,18389679,4957,587533,0
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401031,504,69,210385853,5179,38317286,80,18713330,225439,46800,9697319,65541536,934654,92,3721,86,6,2177148,80,6242005,4341,84774,1
La llama que Baila,La llama que Baila,El Reino Infantil,2022-06-10,ARF062200275,508,68,665611,145,25771,22,1209387613,3358774,182200,26534406,265917250,98142716,2,1,86,15,237120,17,12735768,7832,854584,0
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,2024-05-16,USAT22402805,507,68,33661899,3565,32881291,79,3729783,62696,182200,201600,1441200,180045931,8,14021,1,5,6338,47,5036410,1867,109089,0
