track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,shazam_counts,explicit_track
if looks could kill,if looks could kill,Destroy Lonely,2023-03-03,USUM72302654,"3,618",23,88771696,46086,4886494,62,11580205,273458,3641,2217176,13785559,2668776,3,27,35,15,237120,7,306963,838,456300,1
Save Me The Trouble,"Save Me The Trouble, Heartbreak On The Map, Bigger Houses",Dan + Shay,2023-07-14,USWB12302904,"3,616",23,28945482,3303,2239918,52,148269610,1257935,2424,90595,1916491,98142716,10,141650,2,3,88393,13,13593333,1095,219049,0
Marisola - Remix,Marisola (Remix),Cris Mj,2022-12-15,CLA1D2200030,"3,621",23,325264193,47780,22081093,70,148269610,1257935,28194,7137722,83764776,98142716,9,18164,20,18,549718,24,590914,374,854584,1
Alone (with Nicki Minaj),Alone,Kim Petras,2023-04-21,USUG12302442,"3,622",23,79045342,18284,6628769,55,34142538,565870,19430,9297727,105037367,711554335,42,61153,858,18,214894,44,12737821,856,994509,1
Godï¿½ï¿½ï¿½,GO LIVE,Stray Kids,2020-06-17,US5TA2000037,"3,600",23,354643707,30447,7012694,68,529909818,8469062,147664,141180977,703479878,34239087,14,887,20,5,70358,16,2869102,9153,854584,0
PARANOIA,PARANOIA,HEARTSTEEL,2023-10-23,QZH6S1900806,"3,601",23,77600263,13012,1664856,67,50406342,923571,11600,11407462,80073768,76473184,28,80,86,15,237120,17,196297,107,74897,0
Black Summer,Black Summer,Red Hot Chili Peppers,2022-02-04,USWB12105880,"3,606",23,128264127,34856,14539064,57,57252735,907529,4321,1049186,20590526,97206641,21,184255,100,17,35774,23,7419824,2929,1471206,0
Devil You Know,Devil You Know - Single,Tyler Braden,2024-02-02,USWB12400281,"3,599",23,37634335,4046,11535906,21,12646991,155250,182200,26534406,265917250,649110857,7,3216,43,3,11371,25,23487655,1844,108677,0
run for the hills,THINK LATER,Tate McRae,2023-12-08,USRC12302981,"3,604",23,120880428,10296,16902097,67,11115978,143233,182200,26534406,265917250,1813086064,25,6894,307,29,297952,18,13430776,1931,147452,1
I Know - PR1ISVX Edit,I Know (PR1ISVX Edit),Kanii,2023-03-24,USWB12301125,"3,617",23,152454686,34461,5057389,65,148269610,1257935,182200,26534406,265917250,98142716,4,161,86,2,190,17,473548,562,159945,1
Wish,Wish,Diler Kharkiya,2020-11-20,INS922000422,"3,598",23,10848948,1036,186826,45,681881643,3559389,471,58718,1327611,98142716,28,5954,86,15,237120,17,12735768,7832,42722,0
Beso (Fruta Fresca),Beso (Fruta Fresca),Wakyin,2023-12-13,USUG12310037,"3,605",23,26036782,13038,16595457,67,4008686,45996,182200,26534406,265917250,98142716,5,810,36,12,520010,8,12735768,7832,417318,0
